unique_key,address,census_tract,clearance_date,clearance_status,council_district_code,description,district,location_description,primary_type,timestamp,x_coordinate,y_coordinate,year,zipcode
20145002649,"1300 LAVACA STAustin, TX 78701s(30.275993, -97.74252)",7,2014-01-20 00:00:00 UTC,Cleared by Arrest,9,THEFT                         ,B,1300 LAVACA ST,Theft,2014-01-17 00:00:00 UTC,3114254,10073670,2014,78701
20142611905,"1300 WEST AVEAustin, TX 78701s(30.277467, -97.747905)",7,2014-09-22 00:00:00 UTC,Not cleared,9,AUTO THEFT                    ,B,1300 WEST AVE,Auto Theft,2014-09-18 00:00:00 UTC,3112426,10074189,2014,78701
2014630336,"1400 WEST AVEAustin, TX 78701s(30.278245, -97.747611)",7,2014-03-18 00:00:00 UTC,Not cleared,9,BURGLARY OF RESIDENCE         ,B,1400 WEST AVE,Burglary,2014-03-04 00:00:00 UTC,3112573,10074460,2014,78701
20145022859,"1600 WEST AVEAustin, TX 78701s(30.280359, -97.746853)",7,2014-06-10 00:00:00 UTC,Cleared by Arrest,9,BURGLARY OF VEHICLE           ,B,1600 WEST AVE,Theft,2014-05-22 00:00:00 UTC,3112812,10075232,2014,78701
20145019122,"1600 WEST AVEAustin, TX 78701s(30.280359, -97.746853)",7,2014-05-17 00:00:00 UTC,Cleared by Arrest,9,BURGLARY OF VEHICLE           ,B,1600 WEST AVE,Theft,2014-04-29 00:00:00 UTC,3112812,10075232,2014,78701
20145050733,"1600 WEST AVEAustin, TX 78701s(30.280359, -97.746853)",7,2014-12-19 00:00:00 UTC,Cleared by Arrest,9,BURGLARY OF VEHICLE           ,B,1600 WEST AVE,Theft,2014-11-16 00:00:00 UTC,3112812,10075232,2014,78701
20145014432,"1615 PEARL STAustin, TX 78701s(30.281167, -97.748001)",7,2014-04-04 00:00:00 UTC,Not cleared,9,THEFT OF AUTO PARTS           ,B,1615 PEARL ST,Theft,2014-04-01 00:00:00 UTC,3112653,10075452,2014,78701
20142510656,"1703 WEST AVEAustin, TX 78701s(30.281287, -97.746504)",7,2014-09-18 00:00:00 UTC,Not cleared,9,BURGLARY NON RESIDENCE        ,B,1703 WEST AVE,Burglary,2014-09-08 00:00:00 UTC,3113145,10075502,2014,78701
20145019744,"1800 LAVACA STAustin, TX 78701s(30.280446, -97.74083)",7,2014-05-13 00:00:00 UTC,Cleared by Arrest,9,THEFT OF LICENSE PLATE        ,B,1800 LAVACA ST,Theft,2014-05-03 00:00:00 UTC,3114763,10075317,2014,78701
20141292007,"1800 LAVACA STAustin, TX 78701s(30.280446, -97.74083)",7,2014-05-12 00:00:00 UTC,Not cleared,9,AUTO THEFT                    ,B,1800 LAVACA ST,Auto Theft,2014-05-09 00:00:00 UTC,3114763,10075317,2014,78701
20145028551,"1802 WEST AVEAustin, TX 78701s(30.282102, -97.746195)",7,2014-07-28 00:00:00 UTC,Cleared by Arrest,9,BURGLARY OF VEHICLE           ,B,1802 WEST AVE,Theft,2014-06-27 00:00:00 UTC,3112970,10075882,2014,78701
2014531339,"1804 LAVACA STAustin, TX 78701s(30.280839, -97.74068)",7,2014-02-24 00:00:00 UTC,Cleared by Arrest,9,THEFT                         ,B,1804 LAVACA ST,Theft,2014-02-22 00:00:00 UTC,3114758,10075458,2014,78701
2014311446,"1804 PEARL STAustin, TX 78701s(30.282553, -97.747455)",7,2014-02-11 00:00:00 UTC,Not cleared,9,BURGLARY OF RESIDENCE         ,B,1804 PEARL ST,Burglary,2014-01-31 00:00:00 UTC,3112677,10076003,2014,78701
20143031097,"1805 PEARL STAustin, TX 78701s(30.282431, -97.747504)",7,2014-11-07 00:00:00 UTC,Not cleared,9,BURGLARY OF RESIDENCE         ,B,1805 PEARL ST,Burglary,2014-10-30 00:00:00 UTC,3112784,10075919,2014,78701
20145027429,"207 W 18TH STAustin, TX 78701s(30.280208, -97.740561)",7,2014-06-25 00:00:00 UTC,Cleared by Arrest,1,THEFT                         ,B,207 W 18TH ST,Theft,2014-06-20 00:00:00 UTC,3114892,10075105,2014,78701
20148002219,"303 W 15TH STAustin, TX 78701s(30.277693, -97.742469)",7,2014-08-22 00:00:00 UTC,Not cleared,9,THEFT FROM BUILDING           ,B,303 W 15TH ST,Theft,2014-08-16 00:00:00 UTC,3114314,10074184,2014,78701
20145030304,"303 W 15TH STAustin, TX 78701s(30.277693, -97.742469)",7,2014-09-26 00:00:00 UTC,Not cleared,9,BURGLARY OF RESIDENCE         ,B,303 W 15TH ST,Burglary,2014-07-09 00:00:00 UTC,3114314,10074184,2014,78701
20148001677,"305 W 13TH STAustin, TX 78701s(30.275848, -97.743102)",7,2014-06-27 00:00:00 UTC,Cleared by Arrest,9,THEFT FROM AUTO               ,B,305 W 13TH ST,Theft,2014-06-23 00:00:00 UTC,3114127,10073472,2014,78701
20143610001,"316 W 12TH STAustin, TX 78701s(30.274837, -97.743796)",7,2014-12-31 00:00:00 UTC,Cleared by Exception,9,THEFT FROM PERSON             ,B,316 W 12TH ST,Theft,2014-12-27 00:00:00 UTC,3113971,10073298,2014,78701
20148000057,"402 W 12TH STAustin, TX 78701s(30.275069, -97.744567)",7,2014-01-17 00:00:00 UTC,Cleared by Arrest,9,THEFT OF METAL                ,B,402 W 12TH ST,Theft,2014-01-09 00:00:00 UTC,3113733,10073403,2014,78701
20145049370,"403 E 15TH STAustin, TX 78701s(30.275797, -97.735669)",7,2014-12-04 00:00:00 UTC,Cleared by Arrest,1,THEFT                         ,B,403 E 15TH ST,Theft,2014-11-07 00:00:00 UTC,3116476,10073544,2014,78701
20141660673,"403 E 15TH STAustin, TX 78701s(30.275797, -97.735669)",7,2014-06-19 00:00:00 UTC,Cleared by Arrest,1,THEFT                         ,B,403 E 15TH ST,Theft,2014-06-15 00:00:00 UTC,3116476,10073544,2014,78701
20141451620,"403 E 15TH STAustin, TX 78701s(30.275797, -97.735669)",7,2014-05-30 00:00:00 UTC,Not cleared,1,THEFT FROM PERSON             ,B,403 E 15TH ST,Theft,2014-05-25 00:00:00 UTC,3116476,10073544,2014,78701
20145031707,"407 W 18TH STAustin, TX 78701s(30.280824, -97.742738)",7,2014-08-21 00:00:00 UTC,Cleared by Arrest,9,THEFT                         ,B,407 W 18TH ST,Theft,2014-07-18 00:00:00 UTC,3114201,10075306,2014,78701
20141820401,"407 W 18TH STAustin, TX 78701s(30.280824, -97.742738)",7,2014-07-19 00:00:00 UTC,Cleared by Arrest,9,AGG ASLT STRANGLE/SUFFOCATE   ,B,407 W 18TH ST,Aggravated Assault,2014-07-01 00:00:00 UTC,3114201,10075306,2014,78701
20141310402,"408 W 15TH STAustin, TX 78701s(30.278201, -97.743812)",7,2014-05-21 00:00:00 UTC,Not cleared,9,THEFT BY SHOPLIFTING          ,B,408 W 15TH ST,Theft,2014-05-11 00:00:00 UTC,3113940,10074532,2014,78701
20143230220,"408 W 15TH STAustin, TX 78701s(30.278201, -97.743812)",7,2014-11-24 00:00:00 UTC,Cleared by Arrest,9,THEFT                         ,B,408 W 15TH ST,Theft,2014-11-19 00:00:00 UTC,3113940,10074532,2014,78701
20148001703,"411 W 13TH STAustin, TX 78701s(30.276215, -97.744443)",7,2014-06-30 00:00:00 UTC,Cleared by Arrest,9,BURGLARY OF VEHICLE           ,B,411 W 13TH ST,Theft,2014-06-25 00:00:00 UTC,3113697,10073604,2014,78701
